IATA,IACO,name,city,province,state,country,wiki,lat,lng
LUN,FLLS,Lusaka International Airport,Lusaka,,, Zambia,http://en.wikipedia.org/wiki/Lusaka_International_Airport#,-15.3267,28.4558
CTN,YCKN,Cooktown Airport,Cooktown,, Queensland, Australia,http://en.wikipedia.org/wiki/Cooktown_Airport#,-15.4461,145.1831
JUL,SPJL,Inca Manco Capac Airport,Juliaca,,, Peru,http://en.wikipedia.org/wiki/Inca_Manco_Capac_Airport#,-15.4669,-70.1578
SSR,NVSH,Sara Airport,Sara,,, Vanuatu,http://en.wikipedia.org/wiki/Sara_Airport#,-15.4708,168.1522
JNA,SNJN,Januária Airport,Januária,, Minas Gerais, Brazil,http://en.wikipedia.org/wiki/Janu%C3%A1ria_Airport#,-15.4742,-44.3858
KWM,YKOW,Kowanyama Airport,Kowanyama,, Queensland, Australia,http://en.wikipedia.org/wiki/Kowanyama_Airport#,-15.4875,141.7483
SON,NVSS,Santo-Pekoa International Airport,Luganville,,, Vanuatu,http://en.wikipedia.org/wiki/Santo-Pekoa_International_Airport#,-15.5058,167.2214
APK,NTGD,Apataki Airport,Apataki,,, French Polynesia,http://en.wikipedia.org/wiki/Apataki_Airport#,-15.5736,-146.4153
NFO,NFTO,Mata'aho Airport,Niuafo'ou,,, Tonga,http://en.wikipedia.org/wiki/Mata%27aho_Airport#,-15.6,-175.65
CGB,SBCY,Marechal Rondon Airport,Cuiabá,, Mato Grosso, Brazil,http://en.wikipedia.org/wiki/Marechal_Rondon_Airport#,-15.65,-56.1175
MJN,FMNM,Amborovy Airport (Philibert Tsiranana Airport),Mahajanga,,, Madagascar,http://en.wikipedia.org/wiki/Amborovy_Airport#,-15.6666,46.3511
KKR,NTGK,Kaukura Atoll Airport,Kaukura Atoll,,, French Polynesia,http://en.wikipedia.org/w/index.php?title=Kaukura_Atoll_Airport&action=edit&redlink=1#,-15.6667,-146.8833
BLZ,FWCL,Chileka International Airport,Blantyre,,, Malawi,http://en.wikipedia.org/wiki/Chileka_International_Airport#,-15.6798,34.9676
KHZ,NTKA,Kauehi Airport,Kauehi,,, French Polynesia,http://en.wikipedia.org/w/index.php?title=Kauehi_Airport&action=edit&redlink=1#,-15.7667,-145.1167
KNX,YPKU,Kununurra Airport,Kununurra,, Western Australia, Australia,http://en.wikipedia.org/wiki/Kununurra_Airport#,-15.7783,128.7067
FGU,NTGB,Fangatau Airport,Fangatau,,, French Polynesia,http://en.wikipedia.org/wiki/Fangatau_Airport#,-15.8231,-140.8833
BPG,SBBW,Barra do Garças Airport,Barra do Garças,, Mato Grosso, Brazil,http://en.wikipedia.org/wiki/Barra_do_Gar%C3%A7as_Airport#,-15.8603,-52.3889
LNE,NVSO,Lonorore Airport,Lonorore, Pentecost Island, Pénama Province, Vanuatu,http://en.wikipedia.org/wiki/Lonorore_Airport#,-15.865,168.171
BSB,SBBR,Brasília International Airport,Brasília,, Distrito Federal, Brazil,http://en.wikipedia.org/wiki/Bras%C3%ADlia_International_Airport#,-15.8692,-47.9208
BVM,SNBL,Belmonte Airport,Belmonte,, Bahia, Brazil,http://en.wikipedia.org/w/index.php?title=Belmonte_Airport&action=edit&redlink=1#,-15.8708,-38.8719
ARS,SWEC,Aragarças Airport,Aragarças,, Goiás, Brazil,http://en.wikipedia.org/w/index.php?title=Aragar%C3%A7as_Airport&action=edit&redlink=1#,-15.8989,-52.2403
FHZ,NTKH,Fakahina Airport,Fakahina,,, French Polynesia,http://en.wikipedia.org/w/index.php?title=Fakahina_Airport&action=edit&redlink=1#,-15.9922,-140.1647
FAK,,False Island Seaplane Base (FAA: 2Z6),False Island,, Alaska, United States,http://en.wikipedia.org/w/index.php?title=False_Island_Seaplane_Base&action=edit&redlink=1#,-16.05,-145.65
RRR,NTKO,Raroia Airport,Raroia,,, French Polynesia,http://en.wikipedia.org/wiki/Raroia_Airport#,-16.051,-142.477
FAV,NTGF,Fakarava Airport,Fakarava,, Society Islands, French Polynesia,http://en.wikipedia.org/wiki/Fakarava_Airport#,-16.0542,-145.657
BOX,YBRL,Borroloola Airport,Borroloola,, Northern Territory, Australia,http://en.wikipedia.org/wiki/Borroloola_Airport#,-16.0753,136.3022
NUS,NVSP,Norsup Airport,Norsup,, Malakula island, Vanuatu,http://en.wikipedia.org/wiki/Norsup_Airport#,-16.0797,167.4006
DWB,FMNO,Soalala Airport,Soalala,,, Madagascar,http://en.wikipedia.org/wiki/Soalala_Airport#,-16.083,45.367
TCV,,Chingozi Airport,Tete,,, Mozambique,http://en.wikipedia.org/wiki/Chingozi_Airport#,-16.0833,33.6333
TET,FQTT,Chingozi Airport,Tete,,, Mozambique,http://en.wikipedia.org/wiki/Chingozi_Airport#,-16.1,33.6333
AMJ,SNAR,Almenara Airport,Almenara,, Minas Gerais, Brazil,http://en.wikipedia.org/w/index.php?title=Almenara_Airport&action=edit&redlink=1#,-16.1833,-40.6667
ANO,FQAG,Angoche Airport,Angoche,,, Mozambique,http://en.wikipedia.org/wiki/Angoche_Airport#,-16.1833,39.9333
CCV,NVSF,Craig Cove Airport,Craig Cove, Ambrym Island, Malampa, Vanuatu,http://en.wikipedia.org/wiki/Craig_Cove_Airport#,-16.265,167.9244
AQP,SPQU,Rodriguez Ballon International Airport,Arequipa,,, Peru,http://en.wikipedia.org/wiki/Rodriguez_Ballon_International_Airport#,-16.3403,-71.5728
APS,SWNS,Anápolis Airport,Anápolis,, Goiás, Brazil,http://en.wikipedia.org/w/index.php?title=An%C3%A1polis_Airport&action=edit&redlink=1#,-16.3619,-48.9275
MAU,NTTP,Maupiti Airport,Maupiti,, Leeward Islands, French Polynesia,http://en.wikipedia.org/wiki/Maupiti_Airport#,-16.4264,-152.2433
BPS,SBPS,Porto Seguro Airport,Porto Seguro,,, Brazil,http://en.wikipedia.org/wiki/Porto_Seguro_Airport#,-16.4381,-39.0733
