IATA,IACO,name,city,province,state,country,wiki,lat,lng
YKG,CYAS,Kangirsuk Airport,Kangirsuk,, Quebec, Canada,http://en.wikipedia.org/wiki/Kangirsuk_Airport#,60.0272,-69.9992
YYU,CYYU,Kapuskasing Airport,Kapuskasing,, Ontario, Canada,http://en.wikipedia.org/wiki/Kapuskasing_Airport#,49.4117,-82.4689
XKS,CYAQ,Kasabonika Airport,Kasabonika First Nation,, Ontario, Canada,http://en.wikipedia.org/wiki/Kasabonika_Airport#,53.5247,-88.6428
ZKE,CZKE,Kashechewan Airport,Kashechewan,, Ontario, Canada,http://en.wikipedia.org/wiki/Kashechewan_Airport#,52.2825,-81.6778
YAU,,Kattiniq/Donaldson Airport,Raglan Mines,, Quebec, Canada,http://en.wikipedia.org/wiki/Kattiniq/Donaldson_Airport#,,
KEW,,Keewaywin Airport (TC LID: CPV8),Keewaywin,, Ontario, Canada,http://en.wikipedia.org/wiki/Keewaywin_Airport#,52.9922,-92.8389
ZKG,,Kegaska Airport (TC: CTK6),Kegaska,, Quebec, Canada,http://en.wikipedia.org/wiki/Kegaska_Airport#,50.183,-61.283
YLW,CYLW,Kelowna International Airport,Kelowna,, British Columbia, Canada,http://en.wikipedia.org/wiki/Kelowna_International_Airport#,49.9561,-119.3778
KES,CZEE,Kelsey Airport,Kelsey,, Manitoba, Canada,http://en.wikipedia.org/wiki/Kelsey_Airport#,,
XKO,,Kemano Airport,Kemano,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Kemano_Airport&action=edit&redlink=1#,,
YQK,CYQK,Kenora Airport,Kenora,, Ontario, Canada,http://en.wikipedia.org/wiki/Kenora_Airport#,49.7883,-94.3631
YQE,,Kimberley Airport,Kimberley,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Kimberley_Airport_%28Canada%29&action=edit&redlink=1#,,
YLC,CYLC,Kimmirut Airport,Kimmirut,, Nunavut, Canada,http://en.wikipedia.org/wiki/Kimmirut_Airport#,62.85,-69.8833
YKD,CYKM,Kincardine Airport,Kincardine,, Ontario, Canada,http://en.wikipedia.org/wiki/Kincardine_Airport#,,
YKY,CYKY,Kindersley Airport,Kindersley,, Saskatchewan, Canada,http://en.wikipedia.org/wiki/Kindersley_Airport#,,
KIF,,Kingfisher Lake Airport,Kingfisher Lake,, Ontario, Canada,http://en.wikipedia.org/wiki/Kingfisher_Lake_Airport#,53.0125,-89.8553
YGK,CYGK,Kingston/Norman Rogers Airport,Kingston,, Ontario, Canada,http://en.wikipedia.org/wiki/Kingston/Norman_Rogers_Airport#,44.2253,-76.5969
YKX,CYKX,Kirkland Lake Airport,Kirkland Lake,, Ontario, Canada,http://en.wikipedia.org/wiki/Kirkland_Lake_Airport#,48.2103,-79.9814
YKK,,Kitkatla Water Aerodrome (TC: CAP7),Kitkatla,, British Columbia, Canada,http://en.wikipedia.org/wiki/Kitkatla_Water_Aerodrome#,,
YKT,,Klemtu Airport,Klemtu,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Klemtu_Airport&action=edit&redlink=1#,52.6,-128.517
YKE,,Knee Lake Airport (TC: CJT3),Knee Lake,, Manitoba, Canada,http://en.wikipedia.org/wiki/Knee_Lake_Airport#,,
YBB,CYBB,Kugaaruk Airport,Kugaaruk,, Nunavut, Canada,http://en.wikipedia.org/wiki/Kugaaruk_Airport#,68.5344,-89.8081
YCO,CYCO,Kugluktuk Airport,Kugluktuk,, Nunavut, Canada,http://en.wikipedia.org/wiki/Kugluktuk_Airport#,67.8167,-115.1439
YVP,CYVP,Kuujjuaq Airport,Kuujjuaq,, Quebec, Canada,http://en.wikipedia.org/wiki/Kuujjuaq_Airport#,58.0961,-68.4269
YGW,CYGW,Kuujjuarapik Airport,Kuujjuarapik,, Quebec, Canada,http://en.wikipedia.org/wiki/Kuujjuarapik_Airport#,55.2819,-77.7653
YGL,CYGL,La Grande Rivière Airport,Radisson,, Quebec, Canada,http://en.wikipedia.org/wiki/La_Grande_Rivi%C3%A8re_Airport#,53.6253,-77.7042
YAR,CYAD,La Grande-3 Airport,Northern Quebec,,, Canada,http://en.wikipedia.org/wiki/La_Grande-3_Airport#,,
YAH,CYAH,La Grande-4 Airport,Northern Quebec,,, Canada,http://en.wikipedia.org/wiki/La_Grande-4_Airport#,53.7544,-73.6739
ZGS,,La Romaine Airport,La Romaine,, Quebec, Canada,http://en.wikipedia.org/wiki/La_Romaine_Airport#,50.333,-60.667
YVC,CYVC,La Ronge (Barber Field) Airport,La Ronge,, Saskatchewan, Canada,http://en.wikipedia.org/wiki/La_Ronge_%28Barber_Field%29_Airport#,55.1514,-105.2619
SSQ,,La Sarre Airport,La Sarre,, Quebec, Canada,http://en.wikipedia.org/wiki/La_Sarre_Airport#,,
ZLT,,La Tabatière Airport (TC: CTU5),La Tabatière,, Quebec, Canada,http://en.wikipedia.org/wiki/La_Tabati%C3%A8re_Airport#,50.8308,-58.9756
YLQ,CYLQ,La Tuque Airport,La Tuque,, Quebec, Canada,http://en.wikipedia.org/wiki/La_Tuque_Airport#,47.4097,-72.7889
XLB,CZWH,Lac Brochet Airport,Lac Brochet,, Manitoba, Canada,http://en.wikipedia.org/wiki/Lac_Brochet_Airport#,58.6175,-101.4689
YLB,CYLB,Lac La Biche Airport,Lac La Biche,, Alberta, Canada,http://en.wikipedia.org/wiki/Lac_La_Biche_Airport#,54.7703,-112.0317
YLF,,Laforges Airport,Laforges,, Quebec, Canada,http://en.wikipedia.org/w/index.php?title=Laforges_Airport&action=edit&redlink=1#,,
YLA,CWJU,Langara Airport,Langara[disambiguation needed],, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Langara_Airport&action=edit&redlink=1#,,
YLH,CYLH,Lansdowne House Airport,Lansdowne House,, Ontario, Canada,http://en.wikipedia.org/wiki/Lansdowne_House_Airport#,52.195,-87.9333
LRQ,,Laurie River Airport,Laurie River,, Manitoba, Canada,http://en.wikipedia.org/wiki/Laurie_River_Airport#,,
YLR,CYLR,Leaf Rapids Airport,Leaf Rapids,, Manitoba, Canada,http://en.wikipedia.org/wiki/Leaf_Rapids_Airport#,56.5133,-99.9853
